id,room_id,player_x_id,player_o_id,current_player,game_mode,status,winner_id,win_condition,board,created_at,finished_at
e8255685-9081-44f4-9f57-e533dbf25e71,a4d95895-d6f1-4ecc-837a-a7cc01750ae5,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,c9122c48-3c24-4891-a6b5-f02aa8362af2,X,online,finished,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,diagonal,"{""1"": ""X"", ""2"": ""O"", ""3"": ""O"", ""4"": ""O"", ""7"": ""X"", ""12"": ""X"", ""13"": ""X""}",2025-07-15 10:28:44.57796,2025-07-15 10:29:31.285
a8b73658-b43b-41d3-8012-dc7fcb7bb730,7a56e427-fcbe-4195-a02c-87ae59e9de57,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,c9122c48-3c24-4891-a6b5-f02aa8362af2,X,online,finished,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,vertical,"{""2"": ""X"", ""3"": ""O"", ""7"": ""X"", ""12"": ""X"", ""14"": ""O""}",2025-07-15 11:57:27.884115,2025-07-15 11:58:27.456
8a0f5886-fe09-4909-b774-e43e20fe4f7b,7a56e427-fcbe-4195-a02c-87ae59e9de57,c9122c48-3c24-4891-a6b5-f02aa8362af2,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,X,online,active,,,"{""3"": ""X"", ""8"": ""O""}",2025-07-15 11:58:37.495201,
8da7e630-5f67-4ab7-ba06-98d9c04a0fd0,e86bf91f-827a-4d8b-b57d-49623ce71420,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,c9122c48-3c24-4891-a6b5-f02aa8362af2,X,online,finished,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,vertical,"{""2"": ""X"", ""4"": ""O"", ""7"": ""X"", ""9"": ""O"", ""12"": ""X""}",2025-07-15 10:05:41.588229,2025-07-15 10:05:59.611
06c5f7d0-4c0d-4a73-82d8-97294ff2fcbe,a4d95895-d6f1-4ecc-837a-a7cc01750ae5,c9122c48-3c24-4891-a6b5-f02aa8362af2,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,X,online,finished,c9122c48-3c24-4891-a6b5-f02aa8362af2,vertical,"{""2"": ""X"", ""3"": ""O"", ""7"": ""X"", ""8"": ""O"", ""12"": ""X""}",2025-07-15 10:29:39.756029,2025-07-15 10:29:58.638
3b64ca1d-e189-4e07-88a6-039b2a861597,f45b03f0-106a-4b51-bb16-d97023a5a9e9,c9122c48-3c24-4891-a6b5-f02aa8362af2,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,X,online,active,,,"{""3"": ""X"", ""8"": ""O""}",2025-07-15 12:06:06.269793,
9fc041e1-29a2-40c1-b472-7e17bc727c60,e86bf91f-827a-4d8b-b57d-49623ce71420,c9122c48-3c24-4891-a6b5-f02aa8362af2,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,X,online,finished,c9122c48-3c24-4891-a6b5-f02aa8362af2,vertical,"{""1"": ""O"", ""5"": ""X"", ""10"": ""X"", ""11"": ""O"", ""15"": ""X""}",2025-07-15 10:06:09.000026,2025-07-15 10:06:24.552
23f9ed4b-1e6b-4404-beb9-01db5063c0bb,6958b3ae-0fdd-459e-a7c7-9f3a91f81896,c9122c48-3c24-4891-a6b5-f02aa8362af2,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,X,online,finished,c9122c48-3c24-4891-a6b5-f02aa8362af2,vertical,"{""5"": ""X"", ""9"": ""O"", ""10"": ""X"", ""14"": ""O"", ""15"": ""X""}",2025-07-15 11:48:26.559953,2025-07-15 11:48:49.815
39e9eb38-d3f9-41c6-b81f-753db1da320c,ddcede74-046e-49b2-ae11-bfffc2e827e5,c9122c48-3c24-4891-a6b5-f02aa8362af2,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,O,online,finished,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,horizontal,"{""3"": ""X"", ""4"": ""X"", ""8"": ""X"", ""9"": ""O"", ""10"": ""X"", ""12"": ""O"", ""13"": ""O"", ""14"": ""O"", ""15"": ""O""}",2025-07-15 12:25:06.353073,2025-07-15 12:25:52.451
1c73b13d-e49f-4aa0-81e5-9cfb04fb7fbc,119daa7b-7a33-4e19-8599-3c3961145dec,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,c9122c48-3c24-4891-a6b5-f02aa8362af2,X,online,finished,e08f9202-f1d0-4adf-abc7-f5fbca314dc3,vertical,"{""3"": ""X"", ""8"": ""X"", ""9"": ""O"", ""13"": ""X"", ""14"": ""O""}",2025-07-15 12:12:44.050488,2025-07-15 12:14:04.868
